flight,file,rows,cols,numeric_cols,null_ratio
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-imu-temperature.csv,2055.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-local_position-odom.csv,838.0,90.0,88.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-local_position-pose.csv,838.0,11.0,10.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-airspeed.csv,3885.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-local_position-velocity.csv,838.0,10.0,9.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-errors.csv,3956.0,8.0,7.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-pitch.csv,3956.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-roll.csv,3956.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-velocity.csv,3885.0,11.0,10.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-nav_info-yaw.csv,3956.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-rc-in.csv,614.0,21.0,21.0,0.047619
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-rc-out.csv,614.0,12.0,12.0,0.083333
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-setpoint_raw-local.csv,10249.0,17.0,17.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-setpoint_raw-target_global.csv,3885.0,17.0,17.0,0.058824
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-state.csv,205.0,9.0,8.0,0.111111
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-time_reference.csv,437.0,6.0,5.0,0.166667
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-vfr_hud.csv,526.0,10.0,10.0,0.1
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-wind_estimation.csv,437.0,10.0,10.0,0.1
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-diagnostics.csv,99.0,122.0,35.0,0.008197
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavlink-from.csv,26183.0,21.0,17.0,0.132705
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavctrl-path_dev.csv,6619.0,4.0,4.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-failure_status-engines.csv,81.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavctrl-rpy.csv,6619.0,4.0,4.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-local.csv,544.0,90.0,88.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-compass_hdg.csv,544.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-battery.csv,2692.0,16.0,16.0,0.375
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-global.csv,544.0,19.0,18.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-raw-fix.csv,662.0,19.0,18.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-raw-gps_vel.csv,662.0,10.0,9.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-global_position-rel_alt.csv,544.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-atm_pressure.csv,1323.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-data.csv,328.0,41.0,40.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-data_raw.csv,1324.0,41.0,40.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-mag.csv,1324.0,16.0,15.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-imu-temperature.csv,1323.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-odom.csv,544.0,90.0,88.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-pose.csv,544.0,11.0,10.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-local_position-velocity.csv,544.0,10.0,9.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-airspeed.csv,2471.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-errors.csv,2531.0,8.0,7.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-pitch.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-roll.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-velocity.csv,2471.0,11.0,10.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-nav_info-yaw.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-rc-in.csv,388.0,21.0,21.0,0.047619
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-rc-out.csv,388.0,12.0,12.0,0.083333
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-setpoint_raw-local.csv,6604.0,17.0,17.0,0.0
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-setpoint_raw-target_global.csv,2471.0,17.0,17.0,0.058824
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-state.csv,133.0,9.0,8.0,0.111111
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-time_reference.csv,270.0,6.0,5.0,0.166667
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-vfr_hud.csv,328.0,10.0,10.0,0.1
carbonZ_2018-07-18-15-53-31_1_engine_failure,carbonZ_2018-07-18-15-53-31_1_engine_failure-mavros-wind_estimation.csv,270.0,10.0,10.0,0.1
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-diagnostics.csv,66.0,122.0,35.0,0.008197
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavctrl-path_dev.csv,4439.0,4.0,4.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-compass_hdg.csv,366.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-failure_status-engines.csv,77.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-battery.csv,1800.0,16.0,16.0,0.375
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavctrl-rpy.csv,4439.0,4.0,4.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-global.csv,366.0,19.0,18.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-local.csv,366.0,90.0,88.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-raw-fix.csv,444.0,19.0,18.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-raw-gps_vel.csv,444.0,10.0,9.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-global_position-rel_alt.csv,366.0,2.0,2.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-imu-atm_pressure.csv,888.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-imu-data.csv,226.0,41.0,40.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-imu-data_raw.csv,889.0,41.0,40.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-imu-mag.csv,889.0,16.0,15.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-imu-temperature.csv,888.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-local_position-odom.csv,366.0,90.0,88.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-local_position-pose.csv,366.0,11.0,10.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-local_position-velocity.csv,366.0,10.0,9.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-airspeed.csv,1655.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-errors.csv,1698.0,8.0,7.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-pitch.csv,1698.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-roll.csv,1698.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-velocity.csv,1655.0,11.0,10.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-nav_info-yaw.csv,1698.0,6.0,5.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-rc-in.csv,265.0,21.0,21.0,0.047619
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-rc-out.csv,265.0,12.0,12.0,0.083333
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-setpoint_raw-local.csv,4439.0,17.0,17.0,0.0
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-setpoint_raw-target_global.csv,1655.0,17.0,17.0,0.058824
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-state.csv,89.0,9.0,8.0,0.111111
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-time_reference.csv,187.0,6.0,5.0,0.166667
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-wind_estimation.csv,187.0,10.0,10.0,0.1
carbonZ_2018-07-18-15-53-31_2_engine_failure,carbonZ_2018-07-18-15-53-31_2_engine_failure-mavros-vfr_hud.csv,226.0,10.0,10.0,0.1
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavctrl-rpy.csv,6608.0,4.0,4.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-battery.csv,2697.0,16.0,16.0,0.375
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-failure_status-engines.csv,80.0,2.0,2.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavctrl-path_dev.csv,6608.0,4.0,4.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-diagnostics.csv,97.0,122.0,35.0,0.008197
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-emergency_responder-traj_file.csv,1.0,2.0,1.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-compass_hdg.csv,545.0,2.0,2.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-global.csv,545.0,19.0,18.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-local.csv,545.0,90.0,88.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-raw-fix.csv,663.0,19.0,18.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-raw-gps_vel.csv,663.0,10.0,9.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-global_position-rel_alt.csv,545.0,2.0,2.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-imu-atm_pressure.csv,1325.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-imu-data.csv,328.0,41.0,40.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-imu-data_raw.csv,1325.0,41.0,40.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-imu-mag.csv,1325.0,16.0,15.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-imu-temperature.csv,1325.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-local_position-odom.csv,545.0,90.0,88.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-local_position-pose.csv,545.0,11.0,10.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-local_position-velocity.csv,545.0,10.0,9.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-airspeed.csv,2470.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-errors.csv,2531.0,8.0,7.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-pitch.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-roll.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-velocity.csv,2470.0,11.0,10.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-nav_info-yaw.csv,2531.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-rc-in.csv,390.0,21.0,21.0,0.047619
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-rc-out.csv,390.0,12.0,12.0,0.083333
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-setpoint_raw-local.csv,6486.0,17.0,17.0,0.0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-setpoint_raw-target_global.csv,2470.0,17.0,17.0,0.058824
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-state.csv,133.0,9.0,8.0,0.111111
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-time_reference.csv,269.0,6.0,5.0,0.166667
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-vfr_hud.csv,328.0,10.0,10.0,0.1
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj-mavros-wind_estimation.csv,269.0,10.0,10.0,0.1
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-raw-fix.csv,152.0,19.0,18.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-battery.csv,624.0,16.0,16.0,0.375
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-compass_hdg.csv,126.0,2.0,2.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-diagnostics.csv,22.0,122.0,35.0,0.008197
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-global.csv,126.0,19.0,18.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-local.csv,126.0,90.0,88.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-raw-gps_vel.csv,152.0,10.0,9.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-global_position-rel_alt.csv,126.0,2.0,2.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-imu-atm_pressure.csv,304.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-imu-data.csv,76.0,41.0,40.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-imu-data_raw.csv,304.0,41.0,40.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-imu-mag.csv,304.0,16.0,15.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-imu-temperature.csv,304.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-local_position-odom.csv,126.0,90.0,88.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-local_position-pose.csv,126.0,11.0,10.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-local_position-velocity.csv,126.0,10.0,9.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-airspeed.csv,575.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-errors.csv,590.0,8.0,7.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-pitch.csv,590.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-roll.csv,590.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-velocity.csv,575.0,11.0,10.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-nav_info-yaw.csv,590.0,6.0,5.0,0.0
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-rc-in.csv,90.0,21.0,21.0,0.047619
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-rc-out.csv,90.0,12.0,12.0,0.083333
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-setpoint_raw-target_global.csv,575.0,17.0,17.0,0.058824
carbonZ_2018-07-18-16-37-39_1_no_failure,carbonZ_2018-07-18-16-37-39_1_no_failure-mavros-state.csv,30.0,9.0,8.0,0.111111
